frame_index,time_sec,detected,x,y,area,perimeter,circularity,radius,track_id,rank,kalman_predicted
0,0.0,0,,,,,,,,,0
1,0.03333333333333333,0,,,,,,,,,0
2,0.06666666666666667,0,,,,,,,,,0
3,0.1,0,,,,,,,,,0
4,0.13333333333333333,0,,,,,,,,,0
5,0.16666666666666666,0,,,,,,,,,0
6,0.2,0,,,,,,,,,0
7,0.23333333333333334,0,,,,,,,,,0
8,0.26666666666666666,1,922.3463378834581,915.1222002054894,22710.0,586.156415104866,0.8306153512791021,106.50127410888672,1,1,0
9,0.3,1,924.081438128219,915.9041967908084,24689.5,608.8843387365341,0.8368595021611732,110.39672088623047,1,1,0
10,0.3333333333333333,1,924.6896692797001,916.2916765645207,25258.0,615.9554061889648,0.8365853984658297,111.71625518798828,1,1,0
11,0.36666666666666664,1,925.0925255419804,916.5468275020814,25823.5,621.3696187734604,0.8404752676255719,112.89385223388672,1,1,0
12,0.4,1,925.4819860905257,916.7799123373744,26313.0,628.4406864643097,0.8372432233908873,113.75092315673828,1,1,0
13,0.43333333333333335,1,925.8446120447655,917.062107771581,26717.0,632.4406872987747,0.8393787118977043,114.69650268554688,1,1,0
14,0.4666666666666667,1,925.9666896478903,917.1164526928404,26833.5,633.8549004793167,0.8392811759447768,114.85326385498047,1,1,0
15,0.5,1,926.0570926901396,917.1541447186028,27052.5,636.6833273172379,0.8386298475446117,115.27794647216797,1,1,0
16,0.5333333333333333,1,926.2245537380746,917.2428815332929,27235.5,639.5117542743683,0.8368510283586127,115.69905853271484,1,1,0
17,0.5666666666666667,1,926.3061498141036,917.3033217529103,27345.0,640.0975431203842,0.8386784255671544,115.94049835205078,1,1,0
18,0.6,1,926.30274872057,917.3114263285686,27388.5,640.6833279132843,0.8384772163098526,115.94049835205078,1,1,0
19,0.6333333333333333,1,926.397872134167,917.3178408705345,27508.0,641.269112944603,0.8405977725940308,116.21784973144531,1,1,0
20,0.6666666666666666,1,926.440313147092,917.3254138361124,27527.0,642.0975400209427,0.8390092226405682,116.21784973144531,1,1,0
21,0.7,1,926.5065789870956,917.3554585363792,27600.5,643.511754155159,0.8375559837595092,116.34978485107422,1,1,0
22,0.7333333333333333,1,926.505397756416,917.3534217974016,27619.5,643.5117537975311,0.8381325526406291,116.34978485107422,1,1,0
23,0.7666666666666667,1,926.5086419306838,917.3261643563283,27665.5,644.3401798009872,0.8373710839244871,116.51521301269531,1,1,0
24,0.8,1,926.5385513526526,917.3281754987812,27692.5,644.3401814699173,0.8381883075113034,116.63284301757812,1,1,0
25,0.8333333333333334,1,926.5242155996658,917.2940487136495,27733.5,644.3401818275452,0.8394292823168875,116.63284301757812,1,1,0
26,0.8666666666666667,1,926.529870644615,917.310212709737,27753.0,644.9259686470032,0.8384942146163253,116.63284301757812,1,1,0
27,0.9,1,926.5378577857786,917.3251785178518,27775.0,644.9259685277939,0.8391588952393637,116.63284301757812,1,1,0
28,0.9333333333333333,1,926.5312162648435,917.34173563632,27790.0,644.9259682893753,0.839612086982687,116.6587905883789,1,1,0
29,0.9666666666666667,1,926.5275821174441,917.3496669781259,27826.0,644.9259679317474,0.8406997466099696,116.78302001953125,1,1,0
30,1.0,1,926.5392181498366,917.3849002644457,27857.0,646.925968170166,0.8364404737238412,116.91215515136719,1,1,0
31,1.0333333333333334,1,926.5797905113986,917.387541948567,27861.5,645.5117536783218,0.8402452175936206,116.91215515136719,1,1,0
32,1.0666666666666667,1,926.9176327465293,917.7967892753207,27948.0,647.7543932199478,0.8370277652083851,117.04389190673828,1,1,0
33,1.1,1,926.8752369710627,917.7302702960498,27957.0,647.7543931007385,0.8372973107393709,117.1805191040039,1,1,0
34,1.1333333333333333,1,926.8202225084067,917.6612708974267,27954.0,647.7543942928314,0.8372074592502324,117.0684585571289,1,1,0
35,1.1666666666666667,1,926.4878484034616,917.2429364368845,27925.0,647.7543946504593,0.8363389237228103,116.94573211669922,1,1,0
36,1.2,1,925.7820395519755,916.3605843693749,27870.5,647.5117528438568,0.8353323734339766,116.9096450805664,1,1,0
37,1.2333333333333334,1,925.5898590235678,916.043177769009,27877.0,646.0975400209427,0.8391888871174416,116.79296875,1,1,0
38,1.2666666666666666,1,925.3270518135645,915.7452694173741,27859.5,646.340182185173,0.838032514853004,116.76481628417969,1,1,0
39,1.3,1,924.9776350183333,915.3050765338166,27863.5,646.3401814699173,0.8381528394008213,116.76481628417969,1,1,0
40,1.3333333333333333,1,924.9058448751804,915.1710887958754,27833.5,646.3401794433594,0.8372504244532882,116.63508605957031,1,1,0
41,1.3666666666666667,1,924.2615396599972,914.3714023765438,27813.5,646.3401802778244,0.8366488088239702,116.51995849609375,1,1,0
42,1.4,1,924.3042309953095,914.4520519187629,27787.0,644.9259668588638,0.8395214524823998,116.51521301269531,1,1,0
43,1.4333333333333333,1,924.1045838656087,914.2259846344842,27789.5,646.3401811122894,0.835926870504583,116.5033187866211,1,1,0
44,1.4666666666666666,1,923.9150065444239,913.9844254716187,27759.0,644.9259669780731,0.8386754954058994,116.38765716552734,1,1,0
45,1.5,1,923.7959431366186,913.8106156194046,27739.0,644.9259670972824,0.8380712402631189,116.38845825195312,1,1,0
46,1.5333333333333334,1,923.5511396422389,913.5229431140604,27728.0,644.0975396633148,0.8398952573458761,116.42298889160156,1,1,0
47,1.5666666666666667,1,923.6935909695034,913.675248525087,27713.5,643.5117535591125,0.8409850473331354,116.48722076416016,1,1,0
48,1.6,1,922.9050040106871,912.7070690622229,27634.5,643.5117547512054,0.8385877353789127,116.08734893798828,1,1,0
49,1.6333333333333333,1,922.650645087319,912.3353910955018,27619.0,642.9259679317474,0.8396453348091949,116.09929656982422,1,1,0
50,1.6666666666666667,1,921.808357540547,911.3499515855724,27540.0,642.9259674549103,0.8372436567198526,115.96561431884766,1,1,0
51,1.7,1,920.5828465376658,909.7757758305951,27390.0,640.9259672164917,0.8378883680282335,115.55311584472656,1,1,0
52,1.7333333333333334,1,919.6022118003394,908.5195898826316,27293.0,638.4406862258911,0.8414339440308198,115.52267456054688,1,1,0
53,1.7666666666666666,1,917.1518159731833,905.5144693544914,27097.5,637.5117553472519,0.837843094090612,114.97183227539062,1,1,0
54,1.8,1,916.5754943098146,904.6986820458789,27049.5,636.6833282709122,0.8385368447722269,114.73685455322266,1,1,0
55,1.8333333333333333,1,914.9097494867548,902.7202364338921,26871.5,633.8548992872238,0.8404697189792649,114.41807556152344,1,1,0
56,1.8666666666666667,1,913.2497177467143,900.620576732349,26719.5,633.0264730453491,0.8379043517121587,113.87393188476562,1,1,0
57,1.9,1,912.3465876039106,899.4710113652711,26645.5,631.8548995256424,0.8386852850575691,113.6321792602539,1,1,0
58,1.9333333333333333,1,910.297493341393,896.8949482737994,26469.5,628.1980451345444,0.8428735790281208,113.44316101074219,1,1,0
59,1.9666666666666666,1,909.4039275115235,895.8609774578518,26395.0,627.6122590303421,0.8420709678027936,113.05097198486328,1,1,0
60,2.0,1,907.6813079365079,893.5968253968254,26250.0,625.6122584342957,0.8428080442230172,112.78604125976562,1,1,0
61,2.033333333333333,1,905.4211830228538,890.9072658600601,26035.0,622.783833026886,0.8435149531763871,112.2074966430664,1,1,0
62,2.066666666666667,1,904.0289222970582,888.950299451274,25908.5,621.3696178197861,0.8432417580157143,112.05812072753906,1,1,0
63,2.1,1,901.829059995205,886.2966519578302,25721.5,619.3696210384369,0.842570705275277,111.40626525878906,1,1,0
64,2.1333333333333333,1,899.8780624551795,883.9067149097071,25565.0,617.1269774436951,0.8435417793905362,110.98346710205078,1,1,0
65,2.1666666666666665,1,898.2914759144644,881.8308216262238,25447.5,616.54119181633,0.8412610695581393,110.71707916259766,1,1,0
66,2.2,1,895.9646409570073,878.9519513565315,25217.5,611.7127678394318,0.8468701061962675,110.02850341796875,1,1,0
67,2.2333333333333334,1,894.318538153891,876.7967273886874,25087.0,611.1269780397415,0.8441034628420682,109.7145004272461,1,1,0
68,2.2666666666666666,1,891.8682056845882,873.9269870609982,24886.0,608.2985519170761,0.8451453291432081,109.18000030517578,1,1,0
69,2.3,1,889.7461721581993,871.153221879565,24644.0,605.4701246023178,0.8447644445300589,108.75670623779297,1,1,0
70,2.3333333333333335,1,888.2059071902368,869.2660006265407,24473.0,602.6416966915131,0.8467958480008998,108.39059448242188,1,1,0
71,2.3666666666666667,1,885.7440833178761,866.1313520606197,24260.5,599.2274851799011,0.8490361088190272,107.7033920288086,1,1,0
72,2.4,1,883.9778522471831,863.9374870712837,24171.0,600.6416976451874,0.8419252325228382,107.44426727294922,1,1,0
73,2.433333333333333,1,881.4272497254312,860.7553349737942,23977.0,596.6416983604431,0.8464036017896539,107.0164566040039,1,1,0
74,2.466666666666667,1,879.5052304331386,858.1850677085521,23803.0,593.8132691383362,0.8482849553907759,106.24627685546875,1,1,0
75,2.5,1,876.9340313840197,855.0439107795135,23589.5,592.3990570306778,0.8446949206184751,105.56169128417969,1,1,0
76,2.533333333333333,1,874.9120232933957,852.6207988951298,23411.5,590.3990559577942,0.8440103950838649,104.98863220214844,1,1,0
